20220304||||||||
IBOV|IBRX100|Empresa|Valor (R$ Mil) em 25/02/2022|Valor (R$ Mil) em 31/01/2022|Var (%)|Valor (USD Mil) em 25/02/2022|Valor (USD Mil) em 31/01/2022|Var (%)
||IRANI|1563426231.15|1648143908.70|-5.14|304204038.00|307638763.00|-1.12
*|**|IRBBRASIL RE|3879744412.86|4146001382.37|-6.42|754902209.00|773883112.00|-2.45
*|**|ITAUSA|88884646739.21|90325290611.12|-1.59|17294751671.00|16859911638.00|2.58
*|**|ITAUUNIBANCO|231663150406.80|232273887601.68|-0.26|45075913610.00|43355711278.00|3.97
||JALLESMACHAD|3182728582.80|2952864851.82|7.78|619280185.00|551174983.00|12.36
*|**|JBS|85198071197.30|83298977941.30|2.28|16577435342.00|15548396226.00|6.62
*||JHSF PART|3794820672.09|4412422589.79|-14.00|738378152.00|823612683.00|-10.35
||JOAO FORTES|115724196.50|131504768.75|-12.00|22517064.00|24546379.00|-8.27
||JOSAPAR|286670181.07|286774691.00|-0.04|55778920.00|53528706.00|4.20
||JSL|2225569476.06|2045117896.92|8.82|433040720.00|381737017.00|13.44
||KALLAS||||0.00|0.00|
||KARSTEN|115253745.35|118414367.80|-2.67|22425525.00|22102954.00|1.46
||KEPLER WEBER|1555789953.30|1180652149.50|31.77|302718207.00|220377823.00|37.36
*|**|KLABIN S/A|26519284638.55|28781263541.66|-7.86|5159996233.00|5372244660.00|-3.95
||KORA SAUDE|2447283946.69|3275421569.77|-25.28|476180867.00|611382680.00|-22.11
||LAVVI|1115905110.72|1203345436.56|-7.27|217127507.00|224613700.00|-3.33
||LE BISCUIT||||0.00|0.00|
||LE LIS BLANC|111538342.98|118423425.88|-5.81|21702600.00|22104645.00|-1.82
||LIFEMED||||0.00|0.00|
|**|LIGHT S/A|3669669941.40|4325367311.64|-15.16|714026918.00|807363145.00|-11.56
*|**|LOCALIZA|43627002858.40|44446146862.00|-1.84|8488734650.00|8296215863.00|2.32
*|**|LOCAMERICA|12860679510.08|13343972450.53|-3.62|2502369831.00|2490755301.00|0.47
*|**|LOCAWEB|5896571206.32|5725399469.60|2.99|1147326771.00|1068689937.00|7.36
||LOG COM PROP|2860456312.00|2889060875.12|-0.99|556573980.00|539265479.00|3.21
||LOG-IN|2640736742.40|2347556751.36|12.49|513821991.00|438189560.00|17.26
|**|LOJAS MARISA|1055933555.60|1220494629.20|-13.48|205458527.00|227814729.00|-9.81
*|**|LOJAS RENNER|25035904004.28|27804487385.48|-9.96|4871367086.00|5189921862.00|-6.14
||LOPES BRASIL|486930282.30|432335068.83|12.63|94744578.00|80698673.00|17.41
||LUPATECH|153880885.43|169750378.49|-9.35|29941411.00|31685216.00|-5.50
||M.DIASBRANCO|7752930000.00|7841070000.00|-1.12|1508528233.00|1463596147.00|3.07
||MAESTROLOC||||0.00|0.00|
*|**|MAGAZ LUIZA|40561050356.48|47242487936.00|-14.14|7892176199.00|8818174476.00|-10.50
||MANGELS INDL|77784201.40|80617975.28|-3.52|15134880.00|15047966.00|0.58
||MARCOPOLO|2571760228.36|3053895754.68|-15.79|500400869.00|570033179.00|-12.22
*|**|MARFRIG|15327670971.21|15541995644.24|-1.38|2982385292.00|2901033271.00|2.80
||MATER DEI|6017871382.54|6075220855.69|-0.94|1170928782.00|1133986795.00|3.26
||MELHOR SP|308706266.50|308706266.50|0.00|60066597.00|57622404.00|4.24
*|**|MELIUZ|1896661200.00|2338679700.00|-18.90|369043312.00|436532590.00|-15.46
||MELNICK|811080429.90|877630619.02|-7.58|157816171.00|163816519.00|-3.66
||MERC BRASIL|1246913412.40|1211620108.96|2.91|242618479.00|226158231.00|7.28
||MERC FINANC|334359562.00|336317170.75|-0.58|65058093.00|62776192.00|3.63
||MERC INVEST|95403278.35|95296756.90|0.11|18563116.00|17787874.00|4.36
||METAL IGUACU|7843680.00|8553231.36|-8.30|1526186.00|1596527.00|-4.41
||METAL LEVE|3487425030.00|4193121780.00|-16.83|678566570.00|782678497.00|-13.30
||METALFRIO|207760684.86|207760684.86|0.00|40425086.00|38780133.00|4.24
||METISA|457935455.01|469902556.20|-2.55|89102902.00|87710934.00|1.59
||MILLS|1583619624.40|1618923246.60|-2.18|308133172.00|302184501.00|1.97
||MINASMAQUINA|99285867.08|99285867.08|0.00|19318572.00|18532472.00|4.24
*|**|MINERVA|6564733629.67|5793483702.78|13.31|1277334636.00|1081398384.00|18.12
||MINUPAR|40186566.00|42955605.00|-6.45|7819311.00|8017995.00|-2.48
||MITRE REALTY|599743229.40|803888632.00|-25.39|116695184.00|150052009.00|-22.23
||MMX MINER|90834562.00|90834562.00|0.00|17674157.00|16954971.00|4.24
||MOBLY|569720986.40|679405587.52|-16.14|110853599.00|126816289.00|-12.59
||MODALMAIS|3243380141.29|3384503921.12|-4.17|631081477.00|631743742.00|-0.10
||MONT ARANHA|4961499480.58|4973995726.00|-0.25|965384963.00|928434637.00|3.98
